Method,Min
cuda_32_gpu,24.55415540414075
cuda_gpu,9.950874661579768
hip_32_gpu,36.06713176237999
hip_gpu,9.392007905212935
opencl_32_cpu,1.305526072779875
opencl_32_gpu,17.95181713691203
opencl_cpu,1.7656264869043883
opencl_gpu,10.5933938098077
openmp,4.658148694477437
openmp_32,4.277075295247155
serial,1.0
serial_32,1.0394684554216607
sycl_32_cpu,2.7745046910834614
sycl_32_gpu,31.52542164171753
sycl_cpu,2.4377853515944645
sycl_gpu,9.472663254824129
