Method,Mean
cuda_32_gpu,54.6706545135
cuda_gpu,135.1806600365
hip_32_gpu,36.158273884399996
hip_gpu,141.35316780133334
opencl_32_cpu,1032.9206927276668
opencl_32_gpu,72.23751717200001
opencl_cpu,799.6832485043334
opencl_gpu,124.36392218766667
openmp,299.5799128835
openmp_32,319.650457794
serial,1292.5918262632501
serial_32,1237.0036165830002
sycl_32_cpu,547.346928236
sycl_32_gpu,44.443388772750005
sycl_cpu,572.1148214032
sycl_gpu,302.836668659
