Method,Mean
cuda_32_gpu,23.643247694136647
cuda_gpu,9.561958241025296
hip_32_gpu,35.74816182862428
hip_gpu,9.144413573241883
opencl_32_cpu,1.2513950348403433
opencl_32_gpu,17.89363584002402
opencl_cpu,1.6163797712166854
opencl_gpu,10.393623838211804
openmp,4.314681227529132
openmp_32,4.043766541689942
serial,1.0
serial_32,1.0449377907510105
sycl_32_cpu,2.361558564746201
sycl_32_gpu,29.084006912087432
sycl_cpu,2.2593223910769673
sycl_gpu,4.268280429800705
