Method,Min
cuda_32_gpu,7.178635603
cuda_gpu,43.198806871
openmp_32_cpu,156.654557191
openmp_cpu,154.573558577
serial_32_cpu,460.47240249500004
serial_cpu,487.375937587
sycl_32_cpu,127.21144028100001
sycl_32_gpu,7.347981986000001
sycl_cpu,150.19826514500002
sycl_gpu,55.78766688
